ID,pixel,cm2,STATUS
0,9128.154829545454,1,BENCHMARK
1,0.0,0,PASS
2,98.5,0,PASS
3,12530.0,0,
4,214.0,0,PASS
5,8652.5,0,
6,12077.0,0,
7,10601.5,0,
8,15168.0,0,
9,11371.5,0,
10,437.5,0,PASS
11,11721.5,0,
12,10166.0,0,
13,8312.0,0,
14,12812.5,0,
15,112.5,0,PASS
16,357.5,0,PASS
17,12259.0,0,
18,13488.5,0,
19,10712.5,0,
20,10920.0,0,
21,10227.0,0,
22,19226.0,0,
23,9989.0,0,
24,11309.0,0,
25,17247.5,0,
26,0.0,0,PASS
27,35.5,0,PASS
28,207.5,0,PASS
29,6907.5,0,
30,8873.5,0,
31,201.5,0,PASS
32,1800.5,0,
33,9350.5,0,
34,438.5,0,PASS
35,11384.5,0,
36,15763.5,0,
37,11189.0,0,
38,2.0,0,PASS
39,2.0,0,PASS
40,23.0,0,PASS
41,10319.5,0,
42,16670.5,0,
43,15803.0,0,
44,10782.0,0,
45,9.0,0,PASS
46,7980.0,0,
47,9117.5,0,
48,8671.0,0,
49,10859.0,0,
50,8386.5,0,
51,10401.0,0,
52,10491.0,0,
53,12121.5,0,
54,8881.5,0,
55,14602.0,0,
55,finded,40,filtered
